,BA_DENSE_1,BA_DENSE_2,BA_DENSE_3,BA_LSTM_1,BA_LSTM_2,BA_LSTM_3,OF_DENSE_1,OF_DENSE_2,OF_DENSE_3,OF_LSTM_1,OF_LSTM_2,OF_LSTM_3,HF_DENSE_1,HF_DENSE_2,HF_DENSE_3,HF_LSTM_1,HF_LSTM_2,HF_LSTM_3
0,,,,0.7303327918052673,1.7783081531524658,3.1171858310699463,,,,1.4710267782211304,0.04255297780036926,6.28383731842041,,,,1.2291992902755737,0.5672159790992737,2.9455666542053223
1,,,,0.822598934173584,1.7676777839660645,3.1764068603515625,1.1729367971420288,,1.0679666996002197,1.1583353281021118,0.10744878649711609,6.973665237426758,,1.152647614479065,,1.2288438081741333,0.42858681082725525,3.0664873123168945
2,,,,0.7590325474739075,1.6177020072937012,3.0822927951812744,1.1729367971420288,,0.9274129867553711,0.8749823570251465,0.012074356898665428,7.187839984893799,,1.152647614479065,,1.2259244918823242,1.0515599250793457,3.1004583835601807
3,,,,0.6262021064758301,1.6223137378692627,3.052565336227417,1.1729367971420288,,1.1012691259384155,0.9925949573516846,0.02051398903131485,7.347772598266602,,1.152647614479065,,1.1578377485275269,1.8734853267669678,3.1190240383148193
4,,,,0.9333189725875854,1.6554405689239502,3.0571539402008057,1.1729367971420288,,1.0753370523452759,1.7295565605163574,0.43077558279037476,5.916569232940674,,1.152647614479065,,0.9124400019645691,1.7526988983154297,3.0953381061553955
5,1.209266185760498,,,1.1021876335144043,1.5863115787506104,2.9488933086395264,1.1729367971420288,,0.9751261472702026,0.5778580904006958,0.4573924243450165,6.670903205871582,0.5818096399307251,1.152647614479065,1.1072248220443726,1.7228827476501465,2.15666127204895,3.2311344146728516
6,1.209266185760498,,,1.3607932329177856,1.6260730028152466,2.8479881286621094,1.1729367971420288,,0.8382225632667542,1.2068097591400146,0.6180054545402527,6.824856758117676,0.831923246383667,1.152647614479065,1.1072248220443726,1.0278574228286743,2.525383710861206,3.2674810886383057
7,0.8969525098800659,,,0.9037954807281494,0.5950244665145874,0.20586805045604706,0.9242568016052246,,1.0861858129501343,0.5156262516975403,2.3131651878356934,0.026370113715529442,1.068007469177246,0.933754026889801,1.0817466974258423,0.9921585321426392,0.1533236801624298,0.09420191496610641
8,1.224947214126587,,,1.811638355255127,1.6813535690307617,2.293980836868286,1.2251386642456055,,1.4390311241149902,2.9508702754974365,1.9224557876586914,3.5372211933135986,1.3143616914749146,1.2340022325515747,1.1070811748504639,0.9815400838851929,4.224197864532471,2.978536367416382
9,1.224947214126587,,,1.7621126174926758,1.9299516677856445,2.603052854537964,1.2251386642456055,,1.2119485139846802,2.8344321250915527,2.6259727478027344,3.338573694229126,1.1143368482589722,1.2340022325515747,1.1070811748504639,0.9888485074043274,4.0828399658203125,2.979137420654297
