system_time,midpoint,spread,buys,sells,bids_distance_0,bids_distance_1,bids_distance_2,bids_distance_3,bids_distance_4,bids_distance_5,bids_distance_6,bids_distance_7,bids_distance_8,bids_distance_9,bids_distance_10,bids_distance_11,bids_distance_12,bids_distance_13,bids_distance_14,bids_notional_0,bids_notional_1,bids_notional_2,bids_notional_3,bids_notional_4,bids_notional_5,bids_notional_6,bids_notional_7,bids_notional_8,bids_notional_9,bids_notional_10,bids_notional_11,bids_notional_12,bids_notional_13,bids_notional_14,bids_cancel_notional_0,bids_cancel_notional_1,bids_cancel_notional_2,bids_cancel_notional_3,bids_cancel_notional_4,bids_cancel_notional_5,bids_cancel_notional_6,bids_cancel_notional_7,bids_cancel_notional_8,bids_cancel_notional_9,bids_cancel_notional_10,bids_cancel_notional_11,bids_cancel_notional_12,bids_cancel_notional_13,bids_cancel_notional_14,bids_limit_notional_0,bids_limit_notional_1,bids_limit_notional_2,bids_limit_notional_3,bids_limit_notional_4,bids_limit_notional_5,bids_limit_notional_6,bids_limit_notional_7,bids_limit_notional_8,bids_limit_notional_9,bids_limit_notional_10,bids_limit_notional_11,bids_limit_notional_12,bids_limit_notional_13,bids_limit_notional_14,bids_market_notional_0,bids_market_notional_1,bids_market_notional_2,bids_market_notional_3,bids_market_notional_4,bids_market_notional_5,bids_market_notional_6,bids_market_notional_7,bids_market_notional_8,bids_market_notional_9,bids_market_notional_10,bids_market_notional_11,bids_market_notional_12,bids_market_notional_13,bids_market_notional_14,asks_distance_0,asks_distance_1,asks_distance_2,asks_distance_3,asks_distance_4,asks_distance_5,asks_distance_6,asks_distance_7,asks_distance_8,asks_distance_9,asks_distance_10,asks_distance_11,asks_distance_12,asks_distance_13,asks_distance_14,asks_notional_0,asks_notional_1,asks_notional_2,asks_notional_3,asks_notional_4,asks_notional_5,asks_notional_6,asks_notional_7,asks_notional_8,asks_notional_9,asks_notional_10,asks_notional_11,asks_notional_12,asks_notional_13,asks_notional_14,asks_cancel_notional_0,asks_cancel_notional_1,asks_cancel_notional_2,asks_cancel_notional_3,asks_cancel_notional_4,asks_cancel_notional_5,asks_cancel_notional_6,asks_cancel_notional_7,asks_cancel_notional_8,asks_cancel_notional_9,asks_cancel_notional_10,asks_cancel_notional_11,asks_cancel_notional_12,asks_cancel_notional_13,asks_cancel_notional_14,asks_limit_notional_0,asks_limit_notional_1,asks_limit_notional_2,asks_limit_notional_3,asks_limit_notional_4,asks_limit_notional_5,asks_limit_notional_6,asks_limit_notional_7,asks_limit_notional_8,asks_limit_notional_9,asks_limit_notional_10,asks_limit_notional_11,asks_limit_notional_12,asks_limit_notional_13,asks_limit_notional_14,asks_market_notional_0,asks_market_notional_1,asks_market_notional_2,asks_market_notional_3,asks_market_notional_4,asks_market_notional_5,asks_market_notional_6,asks_market_notional_7,asks_market_notional_8,asks_market_notional_9,asks_market_notional_10,asks_market_notional_11,asks_market_notional_12,asks_market_notional_13,asks_market_notional_14
2021-04-17 04:01:00.385744+00:00,62484.91499999999,5.85,126613.49414903298,35693.4284424735,-4.681129939854145e-05,-4.809160600416362e-05,-5.2252613386372104e-05,-5.273272836348042e-05,-5.305280501488596e-05,-6.121477781562135e-05,-6.137481250334531e-05,-7.049701525829732e-05,-7.113716856110841e-05,-7.785879279254004e-05,-7.801882748026401e-05,-0.00010266478057019413,-0.00010570551239652559,-0.00010586555436020717,-0.0001423543581040576,617.3200073242188,617.3200073242188,2797.340087890625,3124.080078125,3371.320068359375,3124.050048828125,9996.4599609375,15156.9404296875,130052.9296875,146308.5625,9947.580078125,85.20999908447266,499.7799987792969,733.3800048828125,2499.0400390625,0.0,0.0,0.0,0.0,0.0,2797.31005859375,98.2699966430664,98.2699966430664,0.0,4769.93017578125,0.0,0.0,936.9400024414062,787.5599975585938,0.0,617.3200073242188,617.3200073242188,2797.340087890625,3124.080078125,3371.320068359375,5921.3701171875,10094.73046875,15255.2099609375,130052.9296875,151078.5,9947.580078125,85.20999908447266,1448.2900390625,1520.93994140625,2499.0400390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.569999694824219,0.0,0.0,4.681129939854145e-05,7.961921801324934e-05,7.97792527009733e-05,9.41827311180532e-05,9.882385347737e-05,9.914393012877554e-05,0.00014427481801249087,0.00015291690942831337,0.0001618790702195838,0.0001716414262773469,0.0001791632384993136,0.0001935667241923511,0.00019836788123939186,0.00020460938685573637,0.00020652984676416963,17100.349609375,3796.889892578125,261.1499938964844,80.33000183105469,3124.550048828125,11095.2900390625,2968.4599609375,85.54000091552734,3124.75,9950.0703125,9374.419921875,918.7100219726562,4004.830078125,5000.0,918.719970703125,0.0,0.0,0.0,0.0,0.0,415300.1875,0.0,27569.830078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17195.4296875,3796.889892578125,261.1499938964844,80.33000183105469,3124.550048828125,434412.5,2968.4599609375,27655.369140625,3124.75,9950.0703125,9374.419921875,918.7100219726562,4004.830078125,5000.0,918.719970703125,95.08000183105469,0.0,0.0,0.0,0.0,8017.009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-17 04:02:00.385744+00:00,62425.645000000004,0.01,306894.2419428125,120584.87665170306,-8.009529040009511e-08,-1.521810418125824e-06,-0.00010965044930344447,-0.00017805182142183185,-0.00020368231344036758,-0.00021649755944963545,-0.00023331757984124124,-0.00026663721655495465,-0.0002917871461249888,-0.0003286309656687081,-0.0003376016393303871,-0.00038149385363794863,-0.0004428468528203666,-0.0004963505198247731,-0.0005072434432804585,1498.219970703125,4994.0400390625,69193.609375,917.489990234375,917.469970703125,917.4600219726562,1209.18994140625,23.709999084472656,117.12000274658203,201.13999938964844,3120.22998046875,64796.98828125,16635.150390625,3119.72998046875,2096.43994140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1498.219970703125,4994.0400390625,0.0,917.489990234375,917.469970703125,917.4600219726562,1209.18994140625,23.709999084472656,117.12000274658203,201.13999938964844,3120.22998046875,64796.98828125,16635.150390625,3119.72998046875,2096.43994140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.009529040009511e-08,5.678755769622512e-05,7.152509351726621e-05,0.00011733959399862215,0.00013287807814776897,0.0001793333503883332,0.00022626918507739902,0.00022642937256023288,0.00022674976207781583,0.00022707013704348356,0.00023491948377341032,0.00023796310415491462,0.00026775855803862214,0.0003054033441003412,0.00037332414649426937,43682.96875,167697.46875,25023.859375,2965.570068359375,1006.280029296875,1248.739990234375,26627.83984375,143731.4375,187484.828125,196245.875,175.47999572753906,3122.030029296875,608.4500122070312,8847.0302734375,3122.449951171875,0.0,66180.59375,123062.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43682.96875,233878.0625,148086.609375,2965.570068359375,1006.280029296875,1248.739990234375,26627.83984375,143731.4375,187484.828125,196245.875,175.47999572753906,3122.030029296875,608.4500122070312,8847.0302734375,3122.449951171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-17 04:03:00.385744+00:00,62478.305,0.01,185510.22995932278,30175.80565998741,-8.002778173477054e-08,-3.577241659513675e-05,-4.825675205211155e-05,-0.00011051836190745234,-0.00014493030903395265,-0.00015501381130889058,-0.0001588551385793835,-0.00016621769464109093,-0.00017181964358314872,-0.00018446403555572033,-0.0003305947466287762,-0.00033139504375867546,-0.00033155508572235703,-0.00033955785329453647,-0.0003864541358780116,3188.719970703125,22204.0,1499.4100341796875,81212.8203125,284.739990234375,777.3900146484375,918.2899780273438,95276.0703125,918.27001953125,15317.7099609375,39723.0703125,9992.7001953125,106177.8984375,18171.419921875,9368.1201171875,672862.5,0.0,0.0,0.0,136708.171875,0.0,0.0,96331.78125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,678409.75,22204.0,1499.4100341796875,81212.8203125,136992.90625,777.3900146484375,918.2899780273438,191607.84375,918.27001953125,15317.7099609375,39723.0703125,9992.7001953125,106177.8984375,18171.419921875,9368.1201171875,2358.550048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.002778173477054e-08,8.346897084265947e-05,8.362902735825628e-05,0.00010171530448133126,0.00015133252600207925,0.00016957886691670865,0.00017005903646349907,0.00018478414858691394,0.00019758858252316713,0.0001988690346479416,0.00020303047494962811,0.00020479108206927776,0.00020495113858487457,0.00024160386237781495,0.0002524876326788217,58983.58984375,9996.849609375,9948.1396484375,180.7899932861328,92235.578125,130021.203125,11330.2099609375,918.5999755859375,918.6099853515625,3796.93994140625,354.1199951171875,1611.1099853515625,355.70001220703125,9374.009765625,2908.3798828125,215916.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4241.2001953125,0.0,0.0,0.0,285840.625,9996.849609375,9948.1396484375,180.7899932861328,92235.578125,130021.203125,11330.2099609375,918.5999755859375,918.6099853515625,3796.93994140625,0.0,918.6199951171875,0.0,9374.009765625,2908.3798828125,10940.5400390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-17 04:04:00.385744+00:00,62510.64,6.48,141213.04613725984,21140.843423023103,-5.183117536944337e-05,-5.2791012421948835e-05,-6.286929419729859e-05,-6.830837082816288e-05,-8.95847479114309e-05,-0.00011294077557977289,-0.0001404560898663476,-0.00014125595043879002,-0.00014749489491805434,-0.000162372351041995,-0.00016717154358047992,-0.00016733151278458536,-0.00024667801335453987,-0.0002474778739269823,-0.00028939073672518134,617.5700073242188,617.5700073242188,3125.340087890625,6250.64013671875,106.26000213623047,1250.0699462890625,5250.16015625,918.780029296875,1500.030029296875,918.760009765625,9999.51953125,2500.010009765625,33434.94140625,85449.6484375,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,617.5700073242188,617.5700073242188,3125.340087890625,6250.64013671875,106.26000213623047,1250.0699462890625,5250.16015625,918.780029296875,1500.030029296875,918.760009765625,9999.51953125,2500.010009765625,33434.94140625,85449.6484375,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.183117536944337e-05,5.247106673778035e-05,6.302927067736164e-05,7.102790550561622e-05,7.598706724820659e-05,8.078624523477629e-05,8.254595013568178e-05,9.742341353558004e-05,0.00010990128794219345,0.0001100612644222565,0.00011054117931053042,0.00011070115579059348,0.00011086112499469891,0.00011102110147476196,0.0001111810706788674,68765.2734375,27.65999984741211,8691.1201171875,83.26000213623047,918.97998046875,3125.780029296875,492.0,3125.840087890625,5086.52978515625,919.010009765625,98.36000061035156,13.319999694824219,77.33999633789062,15.489999771118164,23.399999618530273,0.0,0.0,3236605.75,1516796.5,0.0,0.0,0.0,0.0,0.0,0.0,53322.01171875,53322.01953125,36661.01171875,89983.046875,0.0,68765.2734375,27.65999984741211,3257750.5,1544823.125,918.97998046875,0.0,0.0,3125.840087890625,5086.52978515625,919.010009765625,53322.01171875,53322.01953125,36661.01171875,89983.046875,0.0,0.0,0.0,12453.6904296875,28204.5390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-17 04:05:00.385744+00:00,62428.305,0.01,104071.79373135301,345940.66390321305,-8.00918726895361e-08,-6.895910337334499e-05,-0.00015161391638685018,-0.0001522546517662704,-0.0001671517384238541,-0.0001828497479436919,-0.00019694592629093677,-0.00023122524726204574,-0.00026310179964639246,-0.0002632619871292263,-0.0002759165072347969,-0.00028536736499518156,-0.0002868089941330254,-0.0003092347178608179,-0.0003100356552749872,351.2300109863281,14593.58984375,1319.530029296875,69193.609375,7978.93017578125,25909.25,2464.22998046875,14618.669921875,9985.3896484375,2496.469970703125,1209.18994140625,1248.2099609375,84441.2734375,23.709999084472656,2496.360107421875,123722.640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36072.3984375,0.0,124073.8671875,15606.0,1319.530029296875,0.0,7978.93017578125,25909.25,2464.22998046875,14618.669921875,9985.3896484375,2496.469970703125,0.0,1248.2099609375,84441.2734375,36072.3984375,2496.360107421875,0.0,1012.4099731445312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.00918726895361e-08,2.122434671036899e-05,3.4039047022815794e-05,4.6853747335262597e-05,6.062955071683973e-05,6.094991840654984e-05,6.111009861342609e-05,6.191102147568017e-05,8.834133768687025e-05,0.00011156798427691683,0.00012598451576195657,0.00015481759328395128,0.00015914255345705897,0.00020799860067199916,0.00020815878815483302,209028.703125,917.719970703125,917.72998046875,917.739990234375,105476.7890625,98815.1328125,3745.929931640625,3745.929931640625,5000.0,4827.18994140625,83764.84375,9940.8896484375,3121.909912109375,9990.08984375,7998.009765625,68671.140625,0.0,0.0,0.0,0.0,0.0,104866.96875,0.0,0.0,0.0,87410.640625,0.0,0.0,0.0,0.0,277699.84375,917.719970703125,917.72998046875,917.739990234375,105476.7890625,98815.1328125,108612.8984375,3745.929931640625,5000.0,4827.18994140625,171699.46875,9940.8896484375,3121.909912109375,9990.08984375,7998.009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523.989990234375,0.0,0.0,0.0,0.0
2021-04-17 04:06:00.385744+00:00,62418.805,0.01,98746.7049833911,32202.414494566805,-8.010406560288175e-08,-8.867520227795467e-05,-0.00012376077938824892,-0.00015708406863268465,-0.00018223674851469696,-0.00021908461349084973,-0.00025144664687104523,-0.00030127138597890735,-0.00031536968890577555,-0.00031552990549243987,-0.00033331301528960466,-0.0003605484089348465,-0.00037672941107302904,-0.0004180631076451391,-0.00041886416147463024,64769.05859375,124.83000183105469,1209.18994140625,23.709999084472656,117.12000274658203,201.13999938964844,2463.719970703125,398.04998779296875,9983.349609375,3119.9599609375,16635.150390625,18822.349609375,2495.81005859375,15882.759765625,149.97000122070312,607811.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611879.875,124.83000183105469,0.0,0.0,0.0,0.0,2463.719970703125,398.04998779296875,9983.349609375,0.0,0.0,15702.5400390625,2495.81005859375,15882.759765625,0.0,8492.73046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.010406560288175e-08,1.2095713827875443e-05,1.3056962416158058e-05,2.6033820176962763e-05,4.109338624402881e-05,4.1253591916756704e-05,4.141380122746341e-05,4.477817128645256e-05,5.423045149655081e-05,6.896960258018225e-05,6.912980461493134e-05,8.162604353856295e-05,9.412227518623695e-05,9.620498167350888e-05,0.00010806038335431367,179708.84375,4993.89013671875,917.5700073242188,917.5800170898438,1248.4300537109375,69911.953125,185187.75,154142.6875,140872.15625,804.02001953125,1248.4599609375,1685.449951171875,17597.529296875,3121.239990234375,9987.580078125,63181.421875,0.0,0.0,0.0,3745.280029296875,0.0,517904.8125,0.0,917.6099853515625,3745.389892578125,309427.0,0.0,0.0,0.0,0.0,248369.53125,4993.89013671875,917.5700073242188,917.5800170898438,4993.7099609375,69911.953125,705702.0,154142.6875,141789.765625,4549.41015625,310716.8125,1685.449951171875,17597.529296875,3121.239990234375,9987.580078125,5479.27001953125,0.0,0.0,0.0,0.0,0.0,2609.4599609375,0.0,0.0,0.0,41.33000183105469,0.0,0.0,0.0,0.0
2021-04-17 04:07:00.385744+00:00,62376.085,0.01,55618.152767321975,554547.9921167532,-8.015892660750978e-08,-0.00018428536714054644,-0.00019069809059146792,-0.0002881713444367051,-0.00029875230393372476,-0.0003223190433345735,-0.00033161748433485627,-0.0004090509901288897,-0.0004098525969311595,-0.00042043355642817914,-0.0004314954858273268,-0.0004917749902233481,-0.0004919353523291647,-0.0004925766261294484,-0.0005302513018250465,28713.859375,26355.279296875,3118.2099609375,2494.320068359375,14567.2802734375,84760.4765625,14172.919921875,5736.25,3117.530029296875,9352.48046875,5000.0,4196.6201171875,68183.53125,3117.27001953125,1246.8599853515625,108895.71875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140563.21875,26355.279296875,3118.2099609375,2494.320068359375,14567.2802734375,84760.4765625,14172.919921875,5736.25,3117.530029296875,9352.48046875,5000.0,4196.6201171875,68183.53125,3117.27001953125,1246.8599853515625,2953.6298828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.015892660750978e-08,1.2905587027489673e-05,1.306590456806589e-05,2.5891333280014805e-05,3.07008704112377e-05,3.871676017297432e-05,4.2404073610669e-05,5.090091872261837e-05,5.106123717268929e-05,0.000139877331093885,0.0001799567835405469,0.000213142586289905,0.0002152267115889117,0.00022452515258919448,0.00024376329383812845,123302.921875,9979.7900390625,916.9400024414062,916.9500122070312,88745.609375,916.9600219726562,3118.93994140625,3742.760009765625,5812.22021484375,21454.140625,21389.01953125,3119.469970703125,18507.939453125,7174.85986328125,18230.970703125,541696.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3742.760009765625,0.0,156885.796875,0.0,0.0,0.0,0.0,665849.375,9979.7900390625,916.9400024414062,916.9500122070312,88745.609375,916.9600219726562,3118.93994140625,3742.760009765625,9554.98046875,21454.140625,182416.4375,3119.469970703125,18507.939453125,7174.85986328125,18230.970703125,849.77001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4141.6201171875,0.0,0.0,0.0,0.0
2021-04-17 04:08:00.385744+00:00,62428.024999999994,0.01,228849.6323295716,40532.02095840789,-8.009223506633134e-08,-5.045810667070327e-06,-1.9142044038744643e-05,-3.532067421474494e-05,-6.927978392923251e-05,-7.440568879246712e-05,-9.28269000723958e-05,-0.00010452036804053932,-0.00010628239397192374,-0.00013543597015086561,-0.00015850253112148494,-0.0001663515722611919,-0.00016875434084795415,-0.0002083199069602415,-0.0002230568788945675,2836.0,103.19999694824219,19352.3203125,6242.580078125,22946.94921875,917.6199951171875,917.6099853515625,243.44000244140625,917.5900268554688,15735.9697265625,14145.669921875,129.3699951171875,8086.740234375,29959.2109375,9985.740234375,677500.125,88334.46875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,917.5499877929688,0.0,0.0,0.0,0.0,681542.1875,88437.671875,19352.3203125,6242.580078125,22946.94921875,917.6199951171875,917.6099853515625,243.44000244140625,917.5900268554688,15735.9697265625,15063.2197265625,129.3699951171875,8086.740234375,29959.2109375,9985.740234375,1206.0899658203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.009223506633134e-08,4.42910059064161e-05,6.41538790659979e-05,8.257509034592658e-05,0.00010323889000574127,0.0001410424301866442,0.00014600814029108733,0.00014712943811900914,0.00018781628750730306,0.00020928100275341421,0.0002145671023754403,0.00024996785214170814,0.000250128039624542,0.0002828056749422103,0.00034383597085252404,28761.990234375,3121.5400390625,1398.5400390625,408.5299987792969,5000.0,2965.75,17807.609375,180.66000366210938,76909.96875,2997.169921875,5352.2001953125,3794.070068359375,74801.2421875,265.8500061035156,9367.419921875,4218.3798828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33228.6796875,3121.5400390625,1398.5400390625,408.5299987792969,5000.0,2965.75,17807.609375,0.0,76909.96875,2997.169921875,5352.2001953125,3794.070068359375,74801.2421875,0.0,9367.419921875,248.30999755859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-17 04:09:00.385744+00:00,62388.325,0.01,56903.411494351625,47668.6820098978,-8.014320229676741e-08,-6.387413304764777e-05,-0.00014033073966857046,-0.00014385704707819968,-0.00014738333993591368,-0.00014754362928215414,-0.00022031365369912237,-0.0002464403514750302,-0.00027112444513477385,-0.00028506937087513506,-0.0002852296456694603,-0.0002887559530790895,-0.000291320524411276,-0.00029532768530771136,-0.00029933484620414674,365.6099853515625,126.19999694824219,616.3099975585938,616.3099975585938,3118.9599609375,6237.91015625,2894.030029296875,2494.919921875,469.8999938964844,9978.76953125,23688.330078125,8044.25,1247.4000244140625,960.3200073242188,5000.0,1934.5899658203125,2037.1099853515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2300.2099609375,2781.409912109375,616.3099975585938,616.3099975585938,3118.9599609375,6237.91015625,2894.030029296875,2494.919921875,0.0,9978.76953125,23688.330078125,8044.25,1247.4000244140625,960.3200073242188,5000.0,0.0,618.0999755859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.014320229676741e-08,2.5245108190574683e-05,2.8130263672210276e-05,2.957284050353337e-05,3.8068021240178496e-05,3.83885926567018e-05,4.720434299088083e-05,0.00011885236745001748,0.00011901264952030033,0.00011917293886654079,0.0001645339943934232,0.0001659765694057569,0.00016725885507185012,0.00018585208454169333,0.00018729465955402702,19340.380859375,140398.15625,137769.875,107821.140625,3743.43994140625,6986.93017578125,5953.4599609375,9982.8095703125,18415.990234375,18257.0,1247.969970703125,5000.0,83826.4921875,9884.3203125,23824.3203125,68530.6328125,0.0,0.0,7486.81982421875,0.0,0.0,3743.47998046875,0.0,0.0,9883.66015625,0.0,0.0,0.0,0.0,334420.53125,87967.546875,140398.15625,137769.875,115307.9609375,3743.43994140625,6986.93017578125,9696.9296875,9982.8095703125,18415.990234375,28140.66015625,1247.969970703125,5000.0,83826.4921875,9884.3203125,359298.5,96.52999877929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1053.6199951171875
2021-04-17 04:10:00.385744+00:00,62347.445,0.01,126301.24074374123,133845.8233969837,-8.019574693207687e-08,-0.00011042954429285601,-0.00011058993550250307,-0.0001710575306788087,-0.00017795436724554747,-0.00017811475845519453,-0.0002202977193519473,-0.00022655299108009785,-0.0002472435007803142,-0.00026552812778390944,-0.0002656885189935565,-0.00027659512124955654,-0.00027835945365950465,-0.0002966440806630999,-0.0003075506829190999,174.80999755859375,4596.0400390625,816.8599853515625,5049.27978515625,3116.820068359375,1994.6099853515625,9972.8798828125,62.33000183105469,864.8200073242188,916.260009765625,9349.6298828125,4795.39990234375,916.25,916.239990234375,436.29998779296875,244004.984375,0.0,138152.28125,0.0,4584.990234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33887.87890625,244819.078125,4596.0400390625,138969.125,5049.27978515625,7701.81005859375,1994.6099853515625,9972.8798828125,0.0,864.8200073242188,916.260009765625,9349.6298828125,4795.39990234375,916.25,916.239990234375,33887.87890625,639.280029296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.019574693207687e-08,8.09977063909173e-06,1.275112390430877e-05,3.408319389563985e-05,5.990622230456211e-05,6.006661715218797e-05,7.081284275045618e-05,7.369989180006087e-05,7.706811447860673e-05,8.396495104534552e-05,9.679626964498311e-05,9.807939932215959e-05,0.00011427894060034305,0.00019399351731408387,0.00019415390852373093,615.989990234375,3740.8798828125,17522.2890625,9352.4404296875,6235.1201171875,3117.56005859375,199.8000030517578,5000.0,6063.68994140625,916.5800170898438,916.5999755859375,9975.7900390625,9353.1904296875,9977.009765625,76603.421875,0.0,0.0,0.0,19328.369140625,0.0,0.0,34329.078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24943.8203125,615.989990234375,3740.8798828125,17522.2890625,28680.80078125,6235.1201171875,3117.56005859375,35576.109375,5000.0,6063.68994140625,916.5800170898438,916.5999755859375,9975.7900390625,9353.1904296875,9977.009765625,101547.2421875,0.0,0.0,0.0,0.0,0.0,0.0,1047.239990234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
